symbol,company_name,isin,series,exchange_primary,nse_symbol,tags,bse_symbol,bse_code,paired_nse_symbol,include_flag,yahoo_ticker_ns,yahoo_ticker_bo,priority
BRIGADE,Brigade Enterprises Ltd.,INE791I01019,EQ,NSE,BRIGADE,NIFTY500,,,,YES,BRIGADE.NS,,1
BRITANNIA,Britannia Industries Ltd.,INE216A01030,EQ,NSE,BRITANNIA,NIFTY500,,,,YES,BRITANNIA.NS,,1
BSE,BSE Ltd.,INE118H01025,EQ,NSE,BSE,NIFTY500,,,,YES,BSE.NS,,1
BSOFT,Birlasoft Ltd.,INE836A01035,EQ,NSE,BSOFT,NIFTY500,,,,YES,BSOFT.NS,,1
CAMS,Computer Age Management Services Ltd.,INE596I01020,EQ,NSE,CAMS,NIFTY500,,,,YES,CAMS.NS,,1
CANBK,Canara Bank,INE476A01022,EQ,NSE,CANBK,"NIFTY500, NIFTYBANK, PSU",,,,YES,CANBK.NS,,1
CANFINHOME,Can Fin Homes Ltd.,INE477A01020,EQ,NSE,CANFINHOME,NIFTY500,,,,YES,CANFINHOME.NS,,1
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,INE01TY01017,EQ,NSE,CANHLIFE,NIFTY500,,,,YES,CANHLIFE.NS,,1
CAPLIPOINT,Caplin Point Laboratories Ltd.,INE475E01026,EQ,NSE,CAPLIPOINT,NIFTY500,,,,YES,CAPLIPOINT.NS,,1
CARBORUNIV,Carborundum Universal Ltd.,INE120A01034,EQ,NSE,CARBORUNIV,NIFTY500,,,,YES,CARBORUNIV.NS,,1
CARTRADE,Cartrade Tech Ltd.,INE290S01011,EQ,NSE,CARTRADE,NIFTY500,,,,YES,CARTRADE.NS,,1
CASTROLIND,Castrol India Ltd.,INE172A01027,EQ,NSE,CASTROLIND,NIFTY500,,,,YES,CASTROLIND.NS,,1
CCL,CCL Products (I) Ltd.,INE421D01022,EQ,NSE,CCL,NIFTY500,,,,YES,CCL.NS,,1
CDSL,Central Depository Services (India) Ltd.,INE736A01011,EQ,NSE,CDSL,NIFTY500,,,,YES,CDSL.NS,,1
CEATLTD,Ceat Ltd.,INE482A01020,EQ,NSE,CEATLTD,NIFTY500,,,,YES,CEATLTD.NS,,1
CEMPRO,Cemindia Projects Ltd.,INE686A01026,EQ,NSE,CEMPRO,NIFTY500,,,,YES,CEMPRO.NS,,1
CENTRALBK,Central Bank of India,INE483A01010,EQ,NSE,CENTRALBK,"NIFTY500, PSU",,,,YES,CENTRALBK.NS,,1
CESC,CESC Ltd.,INE486A01021,EQ,NSE,CESC,NIFTY500,,,,YES,CESC.NS,,1
CGCL,Capri Global Capital Ltd.,INE180C01042,EQ,NSE,CGCL,NIFTY500,,,,YES,CGCL.NS,,1
CGPOWER,CG Power and Industrial Solutions Ltd.,INE067A01029,EQ,NSE,CGPOWER,NIFTY500,,,,YES,CGPOWER.NS,,1
CHALET,Chalet Hotels Ltd.,INE427F01016,EQ,NSE,CHALET,NIFTY500,,,,YES,CHALET.NS,,1
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,INE085A01013,EQ,NSE,CHAMBLFERT,NIFTY500,,,,YES,CHAMBLFERT.NS,,1
CHENNPETRO,Chennai Petroleum Corporation Ltd.,INE178A01016,EQ,NSE,CHENNPETRO,NIFTY500,,,,YES,CHENNPETRO.NS,,1
CHOICEIN,Choice International Ltd.,INE102B01014,EQ,NSE,CHOICEIN,NIFTY500,,,,YES,CHOICEIN.NS,,1
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,INE121A01024,EQ,NSE,CHOLAFIN,NIFTY500,,,,YES,CHOLAFIN.NS,,1
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,INE149A01033,EQ,NSE,CHOLAHLDNG,NIFTY500,,,,YES,CHOLAHLDNG.NS,,1
CIPLA,Cipla Ltd.,INE059A01026,EQ,NSE,CIPLA,"NIFTY50, NIFTY500",,,,YES,CIPLA.NS,,1
CLEAN,Clean Science and Technology Ltd.,INE227W01023,EQ,NSE,CLEAN,NIFTY500,,,,YES,CLEAN.NS,,1
COALINDIA,Coal India Ltd.,INE522F01014,EQ,NSE,COALINDIA,"NIFTY50, NIFTY500, PSU",,,,YES,COALINDIA.NS,,1
COCHINSHIP,Cochin Shipyard Ltd.,INE704P01025,EQ,NSE,COCHINSHIP,"NIFTY500, PSU",,,,YES,COCHINSHIP.NS,,1
COFORGE,Coforge Ltd.,INE591G01025,EQ,NSE,COFORGE,NIFTY500,,,,YES,COFORGE.NS,,1
COHANCE,Cohance Lifesciences Ltd.,INE03QK01018,EQ,NSE,COHANCE,NIFTY500,,,,YES,COHANCE.NS,,1
COLPAL,Colgate Palmolive (India) Ltd.,INE259A01022,EQ,NSE,COLPAL,NIFTY500,,,,YES,COLPAL.NS,,1
CONCOR,Container Corporation of India Ltd.,INE111A01025,EQ,NSE,CONCOR,"NIFTY500, PSU",,,,YES,CONCOR.NS,,1
CONCORDBIO,Concord Biotech Ltd.,INE338H01029,EQ,NSE,CONCORDBIO,NIFTY500,,,,YES,CONCORDBIO.NS,,1
COROMANDEL,Coromandel International Ltd.,INE169A01031,EQ,NSE,COROMANDEL,NIFTY500,,,,YES,COROMANDEL.NS,,1
CPPLUS,Aditya Infotech Ltd.,INE819V01029,EQ,NSE,CPPLUS,NIFTY500,,,,YES,CPPLUS.NS,,1
CRAFTSMAN,Craftsman Automation Ltd.,INE00LO01017,EQ,NSE,CRAFTSMAN,NIFTY500,,,,YES,CRAFTSMAN.NS,,1
CREDITACC,CreditAccess Grameen Ltd.,INE741K01010,EQ,NSE,CREDITACC,NIFTY500,,,,YES,CREDITACC.NS,,1
CRISIL,CRISIL Ltd.,INE007A01025,EQ,NSE,CRISIL,NIFTY500,,,,YES,CRISIL.NS,,1
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,INE299U01018,EQ,NSE,CROMPTON,NIFTY500,,,,YES,CROMPTON.NS,,1
CUB,City Union Bank Ltd.,INE491A01021,EQ,NSE,CUB,NIFTY500,,,,YES,CUB.NS,,1
CUMMINSIND,Cummins India Ltd.,INE298A01020,EQ,NSE,CUMMINSIND,NIFTY500,,,,YES,CUMMINSIND.NS,,1
CYIENT,Cyient Ltd.,INE136B01020,EQ,NSE,CYIENT,NIFTY500,,,,YES,CYIENT.NS,,1
DABUR,Dabur India Ltd.,INE016A01026,EQ,NSE,DABUR,NIFTY500,,,,YES,DABUR.NS,,1
DALBHARAT,Dalmia Bharat Ltd.,INE00R701025,EQ,NSE,DALBHARAT,NIFTY500,,,,YES,DALBHARAT.NS,,1
DATAPATTNS,Data Patterns (India) Ltd.,INE0IX101010,EQ,NSE,DATAPATTNS,NIFTY500,,,,YES,DATAPATTNS.NS,,1
DCMSHRIRAM,DCM Shriram Ltd.,INE499A01024,EQ,NSE,DCMSHRIRAM,NIFTY500,,,,YES,DCMSHRIRAM.NS,,1
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,INE501A01019,EQ,NSE,DEEPAKFERT,NIFTY500,,,,YES,DEEPAKFERT.NS,,1
DEEPAKNTR,Deepak Nitrite Ltd.,INE288B01029,EQ,NSE,DEEPAKNTR,NIFTY500,,,,YES,DEEPAKNTR.NS,,1
DELHIVERY,Delhivery Ltd.,INE148O01028,EQ,NSE,DELHIVERY,NIFTY500,,,,YES,DELHIVERY.NS,,1
DEVYANI,Devyani International Ltd.,INE872J01023,EQ,NSE,DEVYANI,NIFTY500,,,,YES,DEVYANI.NS,,1
DIVISLAB,Divi's Laboratories Ltd.,INE361B01024,EQ,NSE,DIVISLAB,NIFTY500,,,,YES,DIVISLAB.NS,,1
DIXON,Dixon Technologies (India) Ltd.,INE935N01020,EQ,NSE,DIXON,NIFTY500,,,,YES,DIXON.NS,,1
DLF,DLF Ltd.,INE271C01023,EQ,NSE,DLF,NIFTY500,,,,YES,DLF.NS,,1
DMART,Avenue Supermarts Ltd.,INE192R01011,EQ,NSE,DMART,NIFTY500,,,,YES,DMART.NS,,1
